"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Agaricomycetes","Agaricostilbomycetes","Archaeosporomycetes","Arthoniomycetes","Basidiobolomycetes","Chytridiomycetes","Cystobasidiomycetes","Dothideomycetes","Entorrhizomycetes","Eurotiomycetes","Exobasidiomycetes","Geminibasidiomycetes","Glomeromycetes","GS14","Lecanoromycetes","Leotiomycetes","Lobulomycetes","Microbotryomycetes","Monoblepharidomycetes","Mortierellomycetes","Mucoromycetes","Olpidiomycetes","Orbiliomycetes","Pezizomycetes","Pezizomycotina_cls_Incertae_sedis","Pucciniomycetes","Rhizophlyctidomycetes","Rhizophydiomycetes","Rozellomycotina_cls_Incertae_sedis","Saccharomycetes","Sordariomycetes","Spizellomycetes","Taphrinomycetes","Tremellomycetes","Umbelopsidomycetes","unidentified","Unknown","Ustilaginomycetes","Wallemiomycetes"
85,85,"4/21/21 11:30",0,4,0,1,1,-119.7242543,35.12227227,NA,NA,"AC04SN11","C","S","N",1,"C04","C04SN1","C04SN1","C04","SN","4/21/21 11:30",11,30,11.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C411","JTMR010AB",2334,0,4,113,0,0,7,46298,0,1151,0,0,77,0,0,503,0,14,0,96,3,16,203,4912,0,0,16,0,0,0,4225,28,0,2088,0,213,867,0,0
86,86,"4/21/21 13:09",0,10,1,1,1,-119.701232,35.11467272,NA,NA,"AC10PN11","C","P","N",1,"C10","C10PN1","C10PN1","C10","PN","4/21/21 13:09",13,9,13.15,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR010Y",6822,0,0,56,0,3,0,36146,0,3348,0,0,5,0,0,2036,7,40,8,396,65,0,109,4241,17,0,94,29,0,0,5496,466,0,2864,0,934,2564,0,0
87,87,"4/21/21 13:18",0,10,0,1,1,-119.7012055,35.1145965,NA,NA,"AC10SN11","C","S","N",1,"C10","C10SN1","C10SN1","C10","SN","4/21/21 13:18",13,18,13.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1011","JTMR011BQ",399,0,0,266,0,0,0,39435,0,4222,0,0,404,0,0,503,0,35,0,0,5,0,473,4054,0,0,8,0,0,0,4310,3,0,690,3,29,1464,0,0
91,91,"4/21/21 16:39",1,1,1,1,1,-119.6694763,35.08286182,NA,NA,"AS01PN11","S","P","N",1,"S01","S01PN1","S01PN1","S01","PN","4/21/21 16:39",16,39,16.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S111","JTMR010EQ",2270,0,0,1395,0,0,0,34136,0,697,0,0,0,0,0,5936,0,0,0,0,0,0,0,958,0,0,48,14,0,0,4784,56,7,3470,0,393,4440,0,0
92,92,"4/21/21 16:49",1,1,0,1,1,-119.6695707,35.08290121,NA,NA,"AS01SN11","S","S","N",1,"S01","S01SN1","S01SN1","S01","SN","4/21/21 16:49",16,49,16.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S111","JTMR011CG",715,0,0,1580,0,0,5,35597,0,1344,0,0,137,0,0,6060,4,0,0,0,0,0,566,762,0,0,0,0,0,0,7132,6,4,815,0,1188,6725,0,0
94,94,"4/22/21 8:53",1,5,1,0,1,-119.6807534,35.08219474,NA,NA,"AS05PE11","S","P","E",1,"S05","S05PE1","S05PE1","S05","PE","4/22/21 8:53",8,53,8.883333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR011S",594,0,0,38,0,0,0,8675,0,1561,0,0,5,0,3,45838,0,4,0,0,5964,0,27,195,0,0,10,0,0,0,1499,6,0,313,0,7,1597,0,0
95,95,"4/22/21 9:49",1,2,1,1,1,-119.6752519,35.08399229,NA,NA,"AS02SN11","S","P","N",1,"S02","S02PN1","S02SN1","S02","PN","4/22/21 9:49",9,49,9.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S211","JTMR010BA",828,0,0,6,0,0,0,11157,0,9991,0,0,8,0,0,2953,0,0,0,172,70,0,15,2663,8,0,0,0,0,0,11182,55,0,556,0,267,2624,0,0
96,96,"4/22/21 9:55",1,2,0,1,1,-119.6753931,35.08397755,NA,NA,"AS02PN11","S","S","N",1,"S02","S02SN1","S02PN1","S02","SN","4/22/21 9:55",9,55,9.916666667,"Spring",NA,NA,NA,NA,34.19,36.24,36.65,3,1,"S211","JTMR010DS",778,0,0,0,0,16,0,22015,0,2921,0,0,348,0,0,734,9,3,0,407,17,0,0,4369,3,0,20,47,0,0,7872,270,0,841,0,207,3965,0,0
101,101,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN12","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR010CN",6145,0,0,331,0,0,6,25396,0,5199,0,0,1054,0,0,5540,6,0,21,350,0,5,1225,8403,0,0,22,33,0,0,6849,317,0,1934,0,517,6921,0,0
102,102,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE12","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR011EV",339,41,0,1777,0,0,4,32892,0,3238,0,0,8,0,0,6496,0,4,0,0,0,0,151,3451,0,0,590,0,0,0,10446,124,0,704,0,106,2265,0,0
103,103,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE12","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011C",658,0,0,286,0,0,0,15885,0,1136,0,7,84,0,8,28706,0,0,0,0,81,0,94,7872,0,0,74,0,0,0,9083,250,0,231,0,95,760,0,0
104,104,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE12","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011CF",1246,0,0,3785,0,0,0,42511,0,3181,0,0,867,0,0,1512,0,0,0,0,16,0,287,3081,0,0,81,0,0,0,5184,22,0,1078,0,412,820,0,0
106,106,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE12","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR010EA",1487,0,0,90,0,0,0,20707,0,1863,0,0,57,0,0,6885,0,0,0,68,0,0,51,1983,0,0,8,10,0,0,3332,125,0,819,0,81,1668,7,0
109,109,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN12","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR011BW",2056,0,0,2,0,0,0,20263,0,19183,0,0,0,0,0,2035,0,0,0,0,256,0,88,483,0,0,14,0,0,21,4368,124,0,492,0,48,1957,0,0
110,110,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN12","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR010EL",254,0,0,137,0,34,0,33603,0,3502,0,0,381,0,0,664,0,0,0,25,0,17,408,418,0,0,167,0,0,0,2545,275,0,1084,0,538,3624,1088,0
111,111,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN12","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.57,36.27,NA,NA,2,0,"S911","JTMR010CB",2171,0,0,64,0,0,0,12443,0,9043,0,0,58,0,0,4633,0,8,25,2019,47,4,641,2911,6,0,253,57,0,0,10715,636,0,629,0,447,7690,0,0
112,112,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN12","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR010FD",1603,0,0,0,0,0,0,13122,0,5125,0,0,103,0,0,2278,0,0,7,557,83,122,164,2769,0,0,42,22,0,0,7076,273,0,684,0,568,2757,0,0
113,113,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE12","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,32.27,33.37,33.12,33.41,4,1,"S901","JTMR010EC",3021,0,8,41,0,181,9,18325,0,9931,0,0,117,0,0,1646,0,45,26,1556,215,46,1276,1647,0,0,43,17,0,11,20689,278,0,1786,0,430,1750,0,0
114,114,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE12","S","S","E",1,"S09","S09SE1","S09SE1","S09","SE","4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR010DC",1914,0,0,87,0,0,0,23715,0,15544,0,0,1449,0,0,1345,0,4,31,1704,104,41,1780,5576,0,0,11,8,0,0,8109,409,0,740,0,43,2526,0,0
116,116,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN12","S","P","N",1,"S08","S08PN1","S08PN1","S08","PN","4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,36.56,36.02,36.99,36.33,4,1,"S811","JTMR010FA",353,0,0,45,0,3,4,43267,4,2306,0,57,7,0,0,653,5,0,0,196,43,0,28,2213,0,0,476,6,0,0,13771,532,0,3631,0,238,1358,0,0
117,117,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN12","S","S","N",1,"S08","S08SN1","S08SN1","S08","SN","4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR010BT",903,0,0,716,0,44,0,26913,0,3279,0,41,454,0,0,158,0,14,0,284,78,0,131,3692,0,0,107,0,0,0,5024,89,0,636,0,361,2157,0,4
118,118,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE12","S","P","E",1,"S10","S10PE1","S10PE1","S10","PE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,39.46,NA,NA,1,0,"S1001","JTMR011N",2532,0,0,0,0,0,7,10840,0,8228,0,0,23,0,0,1178,0,5,0,0,0,0,38,360,0,0,0,0,0,0,10577,333,0,59,0,65,203,0,0
119,119,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN12","S","P","N",1,"S07","S07PN1","S07PN1","S07","PN","4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR011U",6028,0,0,219,0,0,0,33441,0,3646,0,0,4,0,0,1982,0,5,0,0,113,0,87,2356,0,0,193,23,0,0,9487,171,3,1309,0,147,4161,0,0
120,120,"4/19/21 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE12","S","S","N",1,"S07","S07SN1","S07SE1","S07","SN","4/19/21 16:10",16,10,16.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR010F",1710,0,0,484,0,14,3,33461,0,3161,3,0,795,0,0,4612,0,0,36,513,8,67,600,4625,0,0,122,19,0,0,10930,254,15,3047,0,386,6280,0,0
121,121,"4/20/21 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN12","C","P","N",1,"C01","C01PN1","C01PN1","C01","PN","4/20/21 8:54",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR011CW",212,0,0,9,0,0,0,37597,0,5608,0,0,0,0,0,4953,0,83,0,0,21,0,62,6099,0,0,155,17,0,0,12249,175,0,444,0,82,1705,0,9
122,122,"4/20/21 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN12","C","S","N",1,"C01","C01SN1","C01SN1","C01","SN","4/20/21 9:19",9,19,9.316666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR010FF",1398,0,0,51,0,0,0,24763,0,6845,0,0,861,0,0,3963,2,137,26,360,62,18,1011,2597,0,0,17,30,0,0,5948,243,0,263,0,174,1625,0,0
123,123,"4/20/21 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE12","C","P","E",1,"C01","C01PE1","C01PE1","C01","PE","4/20/21 9:36",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR011BF",475,10,0,2650,0,0,56,31180,0,1873,0,0,9,0,0,4875,0,6,0,0,86,0,28,249,7,0,0,0,0,4,15585,0,0,1213,0,5,760,0,9
124,124,"4/20/21 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN12","C","P","N",1,"C05","C05PN1","C05PN1","C05","PN","4/20/21 11:58",11,58,11.96666667,"Spring",NA,NA,NA,NA,NA,NA,39.31,1,0,"C511","JTMR010BG",2291,0,2,35,0,28,0,27077,0,10883,16,0,40,0,0,2634,0,20,5,239,350,27,179,8095,0,0,188,86,0,32,17516,183,0,1379,0,1001,4617,0,0
125,125,"4/20/21 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN12","C","S","N",1,"C05","C05SN1","C05SN1","C05","SN","4/20/21 12:07",12,7,12.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR010AC",469,0,0,8,0,0,0,21781,0,7340,3,0,804,0,0,1457,9,45,12,402,73,9,1826,1772,3,0,61,19,0,0,4703,60,0,355,0,164,2928,0,0
126,126,"4/20/21 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE12","C","P","E",1,"C05","C05PE1","C05PE1","C05","PE","4/20/21 12:18",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR011CX",5479,0,0,1424,0,0,34,52264,0,1955,0,0,38,0,0,3649,0,10,0,0,62,0,110,1978,0,0,353,0,0,0,4588,318,0,728,0,105,1538,0,0
127,127,"4/20/21 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE12","C","S","E",1,"C05","C05SE1","C05SE1","C05","SE","4/20/21 12:30",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010DX",447,0,0,485,0,10,27,47280,0,1195,11,0,109,0,0,2667,0,5,4,83,6,33,1219,835,0,0,0,12,11,0,5071,59,0,2984,0,87,1036,0,0
129,129,"4/20/21 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE12","C","P","E",1,"C08","C08PE1","C08PE1","C08","PE","4/20/21 15:06",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR010BD",816,0,0,65,3,48,7,31418,0,2643,0,4,0,0,0,969,0,247,0,391,38,0,119,901,0,0,92,12,12,0,11134,535,0,2444,0,412,863,0,0
130,130,"4/20/21 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE12","C","S","E",1,"C08","C08SE1","C08SE1","C08","SE","4/20/21 15:12",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR011P",322,0,0,436,0,0,0,30380,0,2577,0,158,172,0,0,1321,0,0,0,0,13,0,538,669,0,0,0,0,0,0,22165,11,0,934,0,24,938,0,0
131,131,"4/20/21 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN12","C","S","N",1,"C07","C07SN1","C07SN1","C07","SN","4/20/21 16:02",16,2,16.03333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR011EL",259,0,0,1191,0,5,0,31301,0,3475,0,0,309,0,0,619,0,25,0,0,0,0,442,4337,0,0,17,0,0,0,5664,44,0,620,0,44,1219,0,0
132,132,"4/20/21 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE12","C","P","E",1,"C07","C07PE1","C07PE1","C07","PE","4/20/21 16:26",16,26,16.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR010BW",3692,11,0,94,0,0,15,18911,0,3632,0,0,29,0,0,1643,0,59,0,914,50,74,163,1412,0,0,45,110,0,0,8741,260,0,645,0,552,1786,0,0
134,134,"4/20/21 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE12","C","S","E",1,"C01","C01SE1","C01SE1","C01","SE","4/20/21 9:33",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR010CG",463,0,0,42,0,0,0,35043,0,4482,0,0,95,0,0,1377,0,28,25,489,62,19,590,3126,0,0,220,70,0,0,6412,274,0,721,0,698,3279,0,0
137,137,"4/20/21 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN12","C","S","N",1,"C06","C06SN1","C06SN1","C06","SN","4/20/21 13:35",13,35,13.58333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011EQ",446,0,10,192,0,0,16,24773,0,5850,0,0,68,0,0,563,4,69,0,0,31,0,1682,9163,0,0,149,12,0,0,3482,19,0,525,0,85,9213,0,0
138,138,"4/20/21 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN12","C","P","N",1,"C06","C06PN1","C06PN1","C06","PN","4/20/21 13:40",13,40,13.66666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011BY",1017,0,0,157,0,0,0,41497,0,565,0,0,0,0,0,1582,4,20,0,0,8,0,29,6598,0,0,571,46,0,0,5820,65,0,1059,0,494,3888,0,0
139,139,"4/20/21 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE12","C","S","E",1,"C06","C06SE1","C06SE1","C06","SE","4/20/21 13:55",13,55,13.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011ET",285,0,0,0,0,0,0,46935,0,9106,0,0,13,0,0,273,0,16,0,0,43,0,1151,4612,0,0,13,4,0,0,6577,22,0,443,0,15,1120,0,0
140,140,"4/20/21 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN12","C","P","N",1,"C08","C08PN1","C08PN1","C08","PN","4/20/21 14:46",14,46,14.76666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR011BS",438,0,0,0,0,0,0,31876,0,5474,0,0,58,0,0,3058,0,82,0,0,91,0,31,5228,0,0,59,0,0,0,7588,102,0,428,0,50,1472,0,0
141,141,"4/21/21 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN12","S","P","N",1,"S06","S06PN1","S06PN1","S06","PN","4/21/21 8:25",8,25,8.416666667,"Spring",NA,NA,NA,34.92,37.33,35.7,36.35,4,1,"S611","JTMR011EE",305,0,0,11,0,0,4,35685,0,8615,0,0,0,0,0,3112,0,4,0,0,314,0,33,824,17,0,0,0,0,7,12029,0,0,77,0,281,1341,0,0
142,142,"4/21/21 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN12","S","S","N",1,"S06","S06SN1","S06SN1","S06","SN","4/21/21 8:36",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010BU",1735,0,0,447,0,8,0,21804,0,4013,0,3,1758,0,0,1317,7,0,24,422,0,47,602,2209,0,0,48,13,0,0,3396,105,0,685,0,362,2854,0,0
144,144,"4/21/21 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE12","S","P","E",1,"S06","S06PE1","S06PE1","S06","PE","4/21/21 8:57",8,57,8.95,"Spring",NA,NA,NA,33.21,34.85,34.23,35.7,4,1,"S601","JTMR011CY",506,0,0,9,0,7,7,36151,0,17350,0,0,0,0,0,5199,0,22,0,0,195,0,18,4457,0,0,166,0,0,3,16550,41,0,933,0,252,2036,0,0
145,145,"4/21/21 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE12","S","S","E",1,"S06","S06SE1","S06SE1","S06","SE","4/21/21 9:06",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR011BL",929,0,3,2470,0,0,0,23813,0,7038,0,0,111,0,0,607,0,0,0,0,0,0,299,1820,0,0,0,0,0,0,22081,0,0,507,0,11,4238,0,0
146,146,"4/21/21 10:04",0,2,1,1,1,-119.7284223,35.1303838,NA,NA,"AC02SN12","C","P","N",1,"C02","C02PN1","C02SN1","C02","PN","4/21/21 10:04",10,4,10.06666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR011ER",605,0,0,24,0,0,0,18689,0,4625,0,0,1028,0,0,10772,0,67,0,0,29,0,1273,4164,0,0,403,0,0,0,11564,317,0,692,0,124,4386,0,0
147,147,"4/21/21 10:21",0,2,0,1,1,-119.72299,35.13051497,NA,NA,"AC02PN12","C","S","N",1,"C02","C02SN1","C02PN1","C02","SN","4/21/21 10:21",10,21,10.35,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR010BC",392,0,0,1065,0,11,0,16248,0,15917,0,0,0,0,0,10165,0,15,0,612,429,0,17,4160,0,0,205,0,0,25,14776,400,0,1054,0,1996,2675,0,15
148,148,"4/21/21 10:41",0,2,0,0,1,-119.7226716,35.13090319,NA,NA,"AC02SE12","C","S","E",1,"C02","C02SE1","C02SE1","C02","SE","4/21/21 10:41",10,41,10.68333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011DS",331,0,4,145,0,0,0,30309,0,3401,0,0,233,0,0,4851,0,42,0,0,24,0,764,1327,0,0,210,0,0,0,9803,5,0,307,0,18,4061,0,0
150,150,"4/21/21 11:54",0,4,1,0,1,-119.7249263,35.12218561,NA,NA,"AC04PE12","C","P","E",1,"C04","C04PE1","C04PE1","C04","PE","4/21/21 11:54",11,54,11.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR011AY",2687,0,0,641,0,0,18,27998,0,1781,0,2,43,0,0,1711,0,0,0,0,537,0,241,1205,0,0,42,6,0,0,17560,70,0,1083,0,61,711,0,0
151,151,"4/21/21 12:14",0,4,0,0,1,-119.724714,35.1218074,NA,NA,"AC04SE12","C","S","E",1,"C04","C04SE1","C04SE1","C04","SE","4/21/21 12:14",12,14,12.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR010Q",225,0,0,217,0,0,17,44507,0,1123,0,0,126,0,0,600,0,0,6,96,112,0,491,547,0,0,91,7,0,0,1743,34,0,567,0,60,733,0,0
153,153,"4/21/21 13:45",0,10,1,0,1,-119.701476,35.11423216,NA,NA,"AC10PE12","C","P","E",1,"C10","C10PE1","C10PE1","C10","PE","4/21/21 13:45",13,45,13.75,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR011BJ",921,0,0,0,4,0,0,6088,0,22477,0,148,68,0,0,3625,0,0,0,0,414,0,1003,683,31,0,0,0,0,0,8086,0,0,133,0,129,2031,0,0
154,154,"4/21/21 13:54",0,10,0,0,1,-119.7014153,35.11426241,NA,NA,"AC10SE12","C","S","E",1,"C10","C10SE1","C10SE1","C10","SE","4/21/21 13:54",13,54,13.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR011Y",270,0,0,0,0,0,0,44409,0,9267,0,0,8,0,0,192,0,26,0,0,593,0,132,1397,0,0,0,0,0,0,2617,10,0,132,0,35,577,0,0
158,158,"4/21/21 16:54",1,1,1,0,1,-119.6693035,35.08245118,NA,NA,"AS01PE12","S","P","E",1,"S01","S01PE1","S01PE1","S01","PE","4/21/21 16:54",16,54,16.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR010W",4333,2,0,156,0,232,0,15315,0,4027,0,0,26,0,2,21263,0,0,0,942,232,29,81,774,0,0,374,0,0,0,3859,1017,0,846,0,1451,2079,0,2
159,159,"4/21/21 17:06",1,1,0,0,1,-119.6692839,35.08246879,NA,NA,"AS01SE12","S","S","E",1,"S01","S01SE1","S01SE1","S01","SE","4/21/21 17:06",17,6,17.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR010L",396,0,0,4974,0,0,0,24733,0,1384,0,0,368,0,0,4056,0,0,7,119,15,0,33,1069,0,0,0,3,0,0,17994,53,0,898,0,33,1664,0,0
160,160,"4/22/21 8:26",1,5,1,1,1,-119.6803809,35.08381932,NA,NA,"AS05PN12","S","P","N",1,"S05","S05PN1","S05PN1","S05","PN","4/22/21 8:26",8,26,8.433333333,"Spring",NA,NA,NA,35.46,35,33.86,33.51,4,1,"S511","JTMR011CK",423,0,0,11,0,0,5,19489,0,7673,0,0,0,0,0,9986,0,0,0,0,192,0,107,23286,17,0,15,0,0,32,7691,19,3,1002,0,221,7764,0,0
161,161,"4/22/21 8:49",1,5,0,1,1,-119.6802974,35.08218187,NA,NA,"AS05SN12","S","S","N",1,"S05","S05SN1","S05SN1","S05","SN","4/22/21 8:49",8,49,8.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S511","JTMR011EK",5448,0,0,530,0,0,0,17242,0,6294,0,0,530,0,0,15188,0,0,0,0,10,0,694,2760,0,0,0,0,0,0,8760,12,8,600,0,75,4742,0,0
162,162,"4/22/21 9:05",1,5,0,0,1,-119.6807346,35.08221517,NA,NA,"AS05SE12","S","S","E",1,"S05","S05SE1","S05SE1","S05","SE","4/22/21 9:05",9,5,9.083333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR010G",5124,0,0,1370,0,7,0,47875,0,1194,0,0,479,0,0,5073,0,0,17,58,0,11,140,570,0,0,9,0,0,0,618,207,13,2004,0,186,4701,0,0
164,164,"4/22/21 9:56",1,2,1,0,1,-119.6743708,35.08460265,NA,NA,"AS02PE12","S","P","E",1,"S02","S02PE1","S02PE1","S02","PE","4/22/21 9:56",9,56,9.933333333,"Spring",NA,NA,NA,NA,NA,NA,35.12,1,0,"S201","JTMR010CV",2038,0,0,0,0,5,5,33780,0,19150,0,14,0,0,0,3741,13,2,0,379,633,12,89,18319,7,0,802,64,0,0,19890,338,0,1286,0,603,4023,0,10
165,165,"4/22/21 10:14",1,2,0,0,1,-119.6748002,35.08415087,NA,NA,"AS02SE12","S","S","E",1,"S02","S02SE1","S02SE1","S02","SE","4/22/21 10:14",10,14,10.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S201","JTMR010BV",2878,0,0,332,0,0,0,28568,0,2071,0,18,389,0,0,70,0,0,16,475,0,0,314,2012,0,0,101,20,0,0,4544,80,0,1223,0,360,1755,3,0
